"ID","chamber_ind","Promedio_Clorofila","treatment","chamber_number","tree_number","survivors","diameter","height","bud_condition","length_last_node","ozone_damage","reddish_no_ozone_damage","yellowish_damage","caterpillar_damage","aphid_damage","other_damage","trifurcated_branches","linear_branches","growth_type","other_plants_growing","X_submitted_by","X_index","monthCollect","triplicate","dosis","delta_altura","delta_diameter","suv_damozo","GroupMatrix"
"AE01_N04TAF","7_1",8.10845666666667,"ambient_air_IE",7,1,"survive",10,91,"growing",15,1,0,1,0,0,0,5,21,"elongate","a_lot","brigadistaD",115,"June_2023",1,"with_ozone",19,2.4,"survive_1","PWOCham_groupD"
"AE02_N04TAF","7_2",8.52299,"ambient_air_IE",7,2,"survive",9.5,76.5,"growing",3.7,1,0,0,0,0,0,4,6,"elongate","bit","brigadistaA",51,"June_2023",1,"with_ozone",3.5,1.2,"survive_1","PWOCham_groupC"
"AE05_N04TAF","7_5",12.5948766666667,"ambient_air_IE",7,5,"survive",7.6,71,"growing",7.1,0,0,0,0,0,0,4,5,"elongate","a_lot","brigadistaA",16,"June_2023",1,"with_ozone",7,0.8,"survive_0","PWOCham_groupA"
"AE06_N04TAF","7_6",9.82776,"ambient_air_IE",7,6,"survive",11.7,81,"growing",7,1,0,1,0,0,0,6,23,"elongate","a_lot","brigadistaD",117,"June_2023",1,"with_ozone",7.5,2.4,"survive_1","PWOCham_groupB"
"AE08_N04TAF","7_8",10.0217666666667,"ambient_air_IE",7,8,"survive",9.4,79,"growing",15,0,0,0,0,0,0,5,5,"elongate","bit","brigadistaA",18,"June_2023",1,"with_ozone",16,0.5,"survive_0","PWOCham_groupA"
"AE10_N04TAF","7_10",8.49794,"ambient_air_IE",7,10,"survive",9.3,84,"dead",1,0,1,0,0,0,0,7,8,"elongate","a_lot","brigadistaG",52,"June_2023",1,"with_ozone",0.5,0.200000000000001,"survive_0","PWOCham_groupB"
"AE12_N04TAF","14_12",8.18004333333333,"ambient_air_IE",14,12,"survive",7.8,72,"growing",10,0,0,1,0,0,0,6,9,"elongate","bit","brigadistaD",132,"June_2023",2,"with_ozone",10,1,"survive_0","PWOCham_groupD"
"AE13_N04TAF","14_13",13.4125066666667,"ambient_air_IE",14,13,"survive",7.1,81,"growing",9,0,0,1,0,0,0,4,7,"elongate","bit","brigadistaG",76,"June_2023",2,"with_ozone",9,-0.600000000000001,"survive_0","No_sequencedORagruped"
"AE14_N04TAF","14_14",11.2614466666667,"ambient_air_IE",14,14,"survive",9.9,90,"growing",20,0,0,0,0,0,0,3,6,"elongate","bit","brigadistaA",35,"June_2023",2,"with_ozone",20,-0.5,"survive_0","PWOCham_groupA"
"AE15_N04TAF","14_15",9.61123333333333,"ambient_air_IE",14,15,"survive",10.2,67.3,"growing",3.5,0,0,0,0,0,0,14,0,"elongate","bit","brigadistaA",77,"June_2023",2,"with_ozone",4.3,0.0999999999999996,"survive_0","PWOCham_groupC"
"AE16_N04TAF","14_16",13.2325566666667,"ambient_air_IE",14,16,"survive",7,78,"growing",14,0,0,0,0,0,0,9,6,"elongate","bit","brigadistaE",36,"June_2023",2,"with_ozone",14,-0.7,"survive_0","PWOCham_groupB"
"AE18_N04TAF","14_18",15.68149,"ambient_air_IE",14,18,"survive",9.4,78,"growing",7,0,0,1,0,0,0,5,10,"elongate","No","brigadistaG",78,"June_2023",2,"with_ozone",7,0,"survive_0","PWOCham_groupC"
"AE19_N04TAF","14_19",11.7436533333333,"ambient_air_IE",14,19,"survive",7.2,82,"growing",12,0,0,0,0,0,0,0,20,"elongate","bit","brigadistaE",79,"June_2023",2,"with_ozone",12,0.4,"survive_0","PWOCham_groupC"
"AE22_N04TAF","15_22",7.70832666666667,"ambient_air_IE",15,22,"survive",9.8,66,"growing",8,1,0,1,0,0,0,3,12,"elongate","bit","brigadistaD",134,"June_2023",3,"with_ozone",8,2.9,"survive_1","No_sequencedORagruped"
"AE23_N04TAF","15_23",9.07131333333333,"ambient_air_IE",15,23,"survive",8.4,82,"growing",15,0,0,0,0,0,0,5,13,"elongate","No","brigadistaE",81,"June_2023",3,"with_ozone",15,0.9,"survive_0","PWOCham_groupB"
"AE24_N04TAF","15_24",6.35496,"ambient_air_IE",15,24,"survive",9.2,77.5,"growing",3.8,1,0,0,0,0,0,3,7,"elongate","No","brigadistaA",83,"June_2023",3,"with_ozone",4.5,1.8,"survive_1","PWOCham_groupD"
"AE25_N04TAF","15_25",9.87179,"ambient_air_IE",15,25,"survive",7.4,73,"growing",9,0,0,0,0,0,0,6,10,"elongate","bit","brigadistaE",84,"June_2023",3,"with_ozone",9,1,"survive_0","PWOCham_groupC"
"AE28_N04TAF","15_28",10.33053,"ambient_air_IE",15,28,"survive",7.8,80,"growing",14,0,0,0,0,0,0,6,17,"elongate","bit","brigadistaE",87,"June_2023",3,"with_ozone",14,0.0999999999999996,"survive_0","PWOCham_groupA"
"AE29_N04TAF","15_29",10.41205,"ambient_air_IE",15,29,"survive",8.7,81,"growing",26,0,0,0,0,0,0,1,15,"elongate","a_lot","brigadistaD",135,"June_2023",3,"with_ozone",16,2.3,"survive_0","PWOCham_groupA"
"AP01_N04TAF","4_1",11.1998366666667,"purified_air",4,1,"survive",9.4,99,"growing",27,0,0,0,0,0,0,6,30,"elongate","bit","brigadistaD",102,"June_2023",1,"without_ozone",17.5,1.8,"survive_0","PWOCham_groupA"
"AP02_N04TAF","4_2",11.84919,"purified_air",4,2,"survive",9.3,74,"growing",1,0,0,0,0,0,0,0,12,"elongate","a_lot","brigadistaG",9,"June_2023",1,"without_ozone",1,1,"survive_0","PWOCham_groupA"
"AP03_N04TAF","4_3",14.2194466666667,"purified_air",4,3,"survive",9.2,69,"growing",2,0,0,0,0,0,0,8,12,"elongate","No","brigadistaD",101,"June_2023",1,"without_ozone",2,0.699999999999999,"survive_0","PWOCham_groupD"
"AP05_N04TAF","4_5",13.0497533333333,"purified_air",4,5,"survive",9,71,"growing",6.7,0,0,0,0,0,1,7,3,"elongate","bit","brigadistaA",37,"June_2023",1,"without_ozone",7,0.800000000000001,"survive_0","PWOCham_groupA"
"AP09_N04TAF","4_9",8.17984333333333,"purified_air",4,9,"survive",8.9,70,"growing",8,0,0,0,0,0,0,4,16,"elongate","No","brigadistaD",104,"June_2023",1,"without_ozone",7,2.2,"survive_0","PWOCham_groupA"
"AP10_N04TAF","4_10",9.36978666666667,"purified_air",4,10,"survive",8.2,92,"growing",16,0,0,0,0,0,0,3,9,"elongate","a_lot","brigadistaG",13,"June_2023",1,"without_ozone",25,0.6,"survive_0","PWOCham_groupA"
"AP11_N04TAF","8_11",8.81565333333333,"purified_air",8,11,"survive",8.4,91.2,"growing",16.3,0,0,0,0,0,0,3,3,"elongate","bit","brigadistaA",11,"June_2023",2,"without_ozone",15.2,0.0999999999999996,"survive_0","PWOCham_groupE"
"AP12_N04TAF","8_12",7.44531666666667,"purified_air",8,12,"survive",9.6,76,"growing",15,0,0,1,0,0,0,1,19,"elongate","bit","brigadistaD",112,"June_2023",2,"without_ozone",13,0.6,"survive_0","No_sequencedORagruped"
"AP13_N04TAF","8_13",7.96721333333333,"purified_air",8,13,"survive",10.1,83,"growing",14,0,0,0,0,0,0,6,5,"elongate","bit","brigadistaG",3,"June_2023",2,"without_ozone",20,-1.8,"survive_0","PWOCham_groupE"
"AP14_N04TAF","8_14",10.2145033333333,"purified_air",8,14,"survive",7.6,61,"growing",9,0,0,0,0,0,0,10,1,"elongate","bit","brigadistaD",113,"June_2023",2,"without_ozone",8,1,"survive_0","No_sequencedORagruped"
"AP15_N04TAF","8_15",8.65826666666667,"purified_air",8,15,"survive",7.5,66,"growing",10,0,0,0,0,0,0,6,4,"elongate","bit","brigadistaA",4,"June_2023",2,"without_ozone",10,-1,"survive_0","No_sequencedORagruped"
"AP17_N04TAF","8_17",11.26029,"purified_air",8,17,"survive",8,64.5,"growing",12.5,0,0,0,0,0,0,5,3,"elongate","bit","brigadistaA",10,"June_2023",2,"without_ozone",11.5,-0.699999999999999,"survive_0","PWOCham_groupA"
"AP20_N04TAF","8_20",9.40685,"purified_air",8,20,"survive",8.7,83,"growing",8,0,0,0,0,0,0,6,11,"elongate","a_lot","brigadistaG",14,"June_2023",2,"without_ozone",9,0.0999999999999996,"survive_0","PWOCham_groupB"
"AP22_N04TAF","9_22",5.67692,"purified_air",9,22,"survive",5.5,64,"growing",14,0,0,1,0,0,0,0,18,"elongate","a_lot","brigadistaD",119,"June_2023",3,"without_ozone",14,0.7,"survive_0","PWOCham_groupD"
"AP25_N04TAF","9_25",13.78502,"purified_air",9,25,"survive",8.5,67,"growing",10,0,0,1,0,0,0,1,28,"elongate","bit","brigadistaD",120,"June_2023",3,"without_ozone",10,1.4,"survive_0","PWOCham_groupB"
"AP26_N04TAF","9_26",8.62316,"purified_air",9,26,"survive",10.8,68,"growing",6,0,0,1,0,0,1,5,2,"elongate","bit","brigadistaG",53,"June_2023",3,"without_ozone",6,0.700000000000001,"survive_0","PWOCham_groupB"
"AP27_N04TAF","9_27",9.20645,"purified_air",9,27,"survive",10.4,71,"growing",3,0,0,0,0,0,1,4,24,"elongate","bit","brigadistaD",121,"June_2023",3,"without_ozone",3,1.8,"survive_0","PWOCham_groupD"
"AP29_N04TAF","9_29",8.83452,"purified_air",9,29,"survive",7.8,81,"growing",13.4,1,0,0,0,0,0,9,3,"elongate","bit","brigadistaA",54,"June_2023",3,"without_ozone",14,0.399999999999999,"survive_1","PWOCham_groupD"
"AP30_N04TAF","9_30",8.29945333333333,"purified_air",9,30,"survive",9.1,83,"growing",15,0,0,0,0,0,0,15,14,"elongate","bit","brigadistaE",22,"June_2023",3,"without_ozone",15,0.4,"survive_0","PWOCham_groupA"
"AX03_N04TAF","1_3",6.02299,"ambient_air_SRX",1,3,"survive",9.6,57,"growing",3,0,0,1,0,0,0,8,15,"elongate","bit","brigadistaA",145,"June_2023",1,"forest",4,2,"survive_0","PWOCham_groupB"
"AX05_N04TAF","1_5",5.27273666666667,"ambient_air_SRX",1,5,"survive",7.2,59,"growing",5,0,0,1,0,0,0,3,20,"elongate","No","brigadistaG",92,"June_2023",1,"forest",5,0,"survive_0","No_sequencedORagruped"
"AX07_N04TAF","1_7",5.82330333333333,"ambient_air_SRX",1,7,"survive",7.6,70,"growing",13,0,0,1,0,0,0,2,18,"elongate","bit","brigadistaG",90,"June_2023",1,"forest",13,2.4,"survive_0","PWOCham_groupA"
"AX08_N04TAF","1_8",8.40975666666667,"ambient_air_SRX",1,8,"survive",8.8,105.5,"growing",15.5,0,0,1,0,0,0,4,30,"elongate","No","brigadistaA",146,"June_2023",1,"forest",16.5,0,"survive_0","PWOCham_groupA"
"AX09_N04TAF","1_9",10.0715033333333,"ambient_air_SRX",1,9,"survive",9.4,70,"growing",8,0,0,1,0,0,0,1,21,"elongate","bit","brigadistaG",95,"June_2023",1,"forest",7,2.7,"survive_0","PWOCham_groupA"
"AX10_N04TAF","1_10",5.91204333333333,"ambient_air_SRX",1,10,"survive",9.4,78,"growing",7,0,0,1,0,0,0,3,31,"elongate","bit","brigadistaA",147,"June_2023",1,"forest",8,2.6,"survive_0","PWOCham_groupD"
"AX12_N04TAF","2_12",7.31292,"ambient_air_SRX",2,12,"survive",5.8,62,"growing",5,0,0,1,0,0,0,4,13,"elongate","bit","brigadistaG",98,"June_2023",2,"forest",7,0.8,"survive_0","PWOCham_groupC"
"AX13_N04TAF","2_13",7.55936,"ambient_air_SRX",2,13,"survive",8.1,84,"growing",7,0,0,1,0,0,0,3,8,"elongate","bit","brigadistaG",141,"June_2023",2,"forest",8,1.1,"survive_0","PWOCham_groupC"
"AX14_N04TAF","2_14",8.84127,"ambient_air_SRX",2,14,"survive",7.2,76,"growing",6,0,0,1,0,0,0,4,24,"shrubby","bit","brigadistaG",97,"June_2023",2,"forest",7,1.1,"survive_0","PWOCham_groupC"
"AX15_N04TAF","2_15",8.35255666666667,"ambient_air_SRX",2,15,"survive",6.9,51,"growing",7,0,0,1,0,0,0,3,9,"shrubby","bit","brigadistaG",142,"June_2023",2,"forest",8,-0.8,"survive_0","PWOCham_groupC"
"AX16_N04TAF","2_16",5.00469,"ambient_air_SRX",2,16,"survive",7.8,62,"growing",8,0,0,1,0,0,0,4,4,"elongate","a_lot","brigadistaG",138,"June_2023",2,"forest",8,1.7,"survive_0","PWOCham_groupD"
"AX17_N04TAF","2_17",7.99345666666667,"ambient_air_SRX",2,17,"survive",11.8,87,"growing",11,0,0,1,0,0,0,3,23,"elongate","No","brigadistaG",96,"June_2023",2,"forest",10,5,"survive_0","PWOCham_groupA"
"AX19_N04TAF","2_19",8.38485333333333,"ambient_air_SRX",2,19,"survive",7.2,73,"growing",17,0,0,1,0,0,0,2,12,"elongate","bit","brigadistaG",137,"June_2023",2,"forest",17,1.6,"survive_0","PWOCham_groupA"
"AX21_N04TAF","3_21",9.17689333333333,"ambient_air_SRX",3,21,"survive",8.7,67,"growing",9,0,0,1,0,0,0,7,26,"elongate","No","brigadistaG",100,"June_2023",3,"forest",9,1.7,"survive_0","PWOCham_groupD"
"AX22_N04TAF","3_22",4.55498,"ambient_air_SRX",3,22,"survive",8.1,72,"growing",10,0,0,1,0,0,0,2,10,"elongate","bit","brigadistaG",144,"June_2023",3,"forest",10,-1.2,"survive_0","PWOCham_groupD"
"AX26_N04TAF","3_26",7.77947,"ambient_air_SRX",3,26,"survive",8.9,70,"growing",8,0,0,1,0,0,0,5,18,"elongate","a_lot","brigadistaA",153,"June_2023",3,"forest",8,2.6,"survive_0","PWOCham_groupA"
"AX27_N04TAF","3_27",3.98078,"ambient_air_SRX",3,27,"survive",7.7,80,"growing",7,0,0,1,0,0,0,1,20,"elongate","No","brigadistaG",99,"June_2023",3,"forest",5,1.5,"survive_0","PWOCham_groupD"
"AX28_N04TAF","3_28",10.03638,"ambient_air_SRX",3,28,"survive",6.4,59,"growing",9,0,0,1,0,0,0,6,9,"shrubby","No","brigadistaA",151,"June_2023",3,"forest",9,1,"survive_0","No_sequencedORagruped"
"CA03_N04TAF","6_3",4.75963333333333,"ozone_contingency",6,3,"survive",8.3,62,"growing",4,1,0,1,0,0,0,4,16,"elongate","No","brigadistaD",108,"June_2023",1,"with_ozone",4,1.9,"survive_1","PWOCham_groupA"
"CA04_N04TAF","6_4",7.87313333333333,"ozone_contingency",6,4,"survive",12.8,71,"growing",7,1,0,0,0,0,1,11,15,"elongate","No","brigadistaD",109,"June_2023",1,"with_ozone",7,3.5,"survive_1","PWOCham_groupA"
"CA06_N04TAF","6_6",5.44625,"ozone_contingency",6,6,"survive",9.5,77,"growing",4.5,1,0,1,0,1,0,3,12,"elongate","bit","brigadistaG",44,"June_2023",1,"with_ozone",5,0.5,"survive_1","No_sequencedORagruped"
"CA07_N04TAF","6_7",7.98757666666667,"ozone_contingency",6,7,"survive",9.1,75,"growing",5,1,0,1,0,0,0,1,21,"elongate","No","brigadistaD",110,"June_2023",1,"with_ozone",5,-0.0999999999999996,"survive_1","PWOCham_groupA"
"CA09_N04TAF","6_9",10.2831066666667,"ozone_contingency",6,9,"survive",8.4,74,"growing",5,1,0,1,0,1,0,10,11,"elongate","bit","brigadistaG",45,"June_2023",1,"with_ozone",5,0.4,"survive_1","No_sequencedORagruped"
"CA10_N04TAF","6_10",5.34129666666667,"ozone_contingency",6,10,"survive",8.6,60,"growing",2,1,1,1,0,0,0,0,10,"elongate","No","brigadistaD",46,"June_2023",1,"with_ozone",1.5,1.2,"survive_1","PWOCham_groupB"
"CA11_N04TAF","12_11",10.0701466666667,"ozone_contingency",12,11,"survive",10,79,"growing",12,1,0,0,0,0,1,10,6,"elongate","No","brigadistaE",65,"June_2023",2,"with_ozone",12,2,"survive_1","PWOCham_groupC"
"CA14_N04TAF","12_14",5.33419,"ozone_contingency",12,14,"survive",6.5,62,"growing",8,0,0,1,0,0,0,6,5,"elongate","No","brigadistaE",1,"June_2023",2,"with_ozone",6,0.8,"survive_0","PWOCham_groupA"
"CA16_N04TAF","12_16",8.43947,"ozone_contingency",12,16,"survive",9.3,79,"growing",4,0,0,0,0,0,0,3,16,"elongate","bit","brigadistaD",129,"June_2023",2,"with_ozone",4,2.3,"survive_0","PWOCham_groupA"
"CA17_N04TAF","12_17",13.3720166666667,"ozone_contingency",12,17,"survive",9.5,76,"growing",8.5,0,0,1,0,0,0,7,7,"elongate","No","brigadistaE",32,"June_2023",2,"with_ozone",4,1,"survive_0","PWOCham_groupA"
"CA19_N04TAF","12_19",4.47664333333333,"ozone_contingency",12,19,"survive",8.2,79,"growing",8,0,1,0,0,0,0,5,8,"elongate","No","brigadistaG",70,"June_2023",2,"with_ozone",8,0.199999999999999,"survive_0","PWOCham_groupD"
"CA21_N04TAF","13_21",6.76192666666667,"ozone_contingency",13,21,"survive",8.7,70,"growing",3,0,0,0,0,0,0,2,8,"elongate","bit","brigadistaA",69,"June_2023",3,"with_ozone",9,-0.5,"survive_0","PWOCham_groupB"
"CA22_N04TAF","13_22",7.85806333333333,"ozone_contingency",13,22,"survive",9.6,66,"growing",2.5,0,0,0,0,0,0,5,3,"elongate","bit","brigadistaA",31,"June_2023",3,"with_ozone",3,1.8,"survive_0","PWOCham_groupB"
"CA25_N04TAF","13_25",7.87544666666667,"ozone_contingency",13,25,"survive",8.9,71.5,"growing",2.8,0,1,0,0,0,0,8,2,"elongate","No","brigadistaA",72,"June_2023",3,"with_ozone",3.5,-1.1,"survive_0","PWOCham_groupB"
"CA27_N04TAF","13_27",5.76519,"ozone_contingency",13,27,"survive",6.4,74,"growing",9,0,0,0,0,0,1,2,14,"elongate","bit","brigadistaD",131,"June_2023",3,"with_ozone",9,0.4,"survive_0","No_sequencedORagruped"
"CA28_N04TAF","13_28",8.23573,"ozone_contingency",13,28,"survive",7.8,61,"bud",1,0,0,0,0,0,1,0,10,"shrubby","No","brigadistaG",71,"June_2023",3,"with_ozone",1,-0.100000000000001,"survive_0","PWOCham_groupD"
"CA29_N04TAF","13_29",6.07364,"ozone_contingency",13,29,"survive",9.2,80.4,"growing",12,0,1,0,0,0,1,6,5,"elongate","bit","brigadistaA",74,"June_2023",3,"with_ozone",12.4,-0.800000000000001,"survive_0","PWOCham_groupD"
"CA30_N04TAF","13_30",8.37973,"ozone_contingency",13,30,"survive",7.1,60,"growing",5,1,0,0,0,0,1,2,7,"shrubby","No","brigadistaG",73,"June_2023",3,"with_ozone",5,0.199999999999999,"survive_1","PWOCham_groupE"
"CC01_N04TAF","5_1",9.40689333333333,"ozone_moderate",5,1,"survive",9.6,73.8,"growing",8.7,0,1,0,0,0,1,12,2,"elongate","bit","brigadistaA",39,"June_2023",1,"with_ozone",8.8,-0.5,"survive_0","PWOCham_groupB"
"CC02_N04TAF","5_2",6.09636,"ozone_moderate",5,2,"survive",8.4,73,"growing",16,0,0,0,0,0,0,1,20,"elongate","No","brigadistaD",105,"June_2023",1,"with_ozone",16,0.800000000000001,"survive_0","PWOCham_groupB"
"CC03_N04TAF","5_3",13.05312,"ozone_moderate",5,3,"survive",8.2,64,"growing",9,0,1,0,0,1,0,4,9,"shrubby","bit","brigadistaG",38,"June_2023",1,"with_ozone",9.5,0,"survive_0","PWOCham_groupB"
"CC07_N04TAF","5_7",14.6234733333333,"ozone_moderate",5,7,"survive",9.8,72.4,"growing",15.2,0,0,0,0,0,0,5,4,"elongate","bit","brigadistaA",2,"June_2023",1,"with_ozone",15.4,1.1,"survive_0","PWOCham_groupB"
"CC09_N04TAF","5_9",8.36941333333333,"ozone_moderate",5,9,"survive",8.3,89.3,"growing",8.9,0,0,0,0,0,0,5,9,"elongate","bit","brigadistaA",8,"June_2023",1,"with_ozone",8.3,0.100000000000001,"survive_0","PWOCham_groupA"
"CC10_N04TAF","5_10",8.17888666666667,"ozone_moderate",5,10,"survive",8.6,74,"growing",3,1,0,1,0,0,0,6,14,"elongate","bit","brigadistaD",107,"June_2023",1,"with_ozone",3.5,0.4,"survive_1","PWOCham_groupB"
"CC11_N04TAF","10_11",10.60256,"ozone_moderate",10,11,"survive",9.3,70,"growing",5,1,0,1,0,0,0,6,13,"elongate","No","brigadistaG",56,"June_2023",2,"with_ozone",5,0.5,"survive_1","PWOCham_groupC"
"CC13_N04TAF","10_13",6.00726333333333,"ozone_moderate",10,13,"survive",7,75.2,"growing",10.1,0,0,0,0,0,0,0,8,"elongate","a_lot","brigadistaA",23,"June_2023",2,"with_ozone",10.2,1.4,"survive_0","PWOCham_groupC"
"CC15_N04TAF","10_15",7.98142666666667,"ozone_moderate",10,15,"survive",10.8,64.5,"growing",1,1,0,0,0,0,0,0,13,"elongate","bit","brigadistaE",57,"June_2023",2,"with_ozone",1,-0.0999999999999996,"survive_1","PWOCham_groupD"
"CC16_N04TAF","10_16",7.10004666666667,"ozone_moderate",10,16,"survive",8,69,"growing",2.5,1,0,0,0,0,0,2,5,"elongate","bit","brigadistaA",60,"June_2023",2,"with_ozone",2,0.2,"survive_1","PWOCham_groupD"
"CC17_N04TAF","10_17",13.07644,"ozone_moderate",10,17,"survive",5.7,63,"growing",10,1,0,1,0,0,0,0,11,"elongate","bit","brigadistaD",123,"June_2023",2,"with_ozone",11,0.2,"survive_1","PWOCham_groupA"
"CC20_N04TAF","10_20",9.78359,"ozone_moderate",10,20,"survive",8.9,82,"growing",4,1,0,1,0,1,0,4,12,"elongate","bit","brigadistaG",62,"June_2023",2,"with_ozone",7,-0.6,"survive_1","PWOCham_groupD"
"CC21_N04TAF","11_21",10.7889033333333,"ozone_moderate",11,21,"survive",8.5,90,"growing",7.5,0,0,1,0,0,0,3,3,"elongate","a_lot","brigadistaA",24,"June_2023",3,"with_ozone",7,1.1,"survive_0","PWOCham_groupA"
"CC23_N04TAF","11_23",12.7116166666667,"ozone_moderate",11,23,"survive",7.4,73,"growing",10.3,0,0,0,0,0,0,7,13,"elongate","bit","brigadistaE",25,"June_2023",3,"with_ozone",10,1.6,"survive_0","PWOCham_groupD"
"CC24_N04TAF","11_24",10.1077666666667,"ozone_moderate",11,24,"survive",8.9,83,"growing",17.2,0,0,0,0,0,0,6,0,"elongate","bit","brigadistaA",26,"June_2023",3,"with_ozone",17,1.1,"survive_0","PWOCham_groupB"
"CC26_N04TAF","11_26",10.8465033333333,"ozone_moderate",11,26,"survive",10.8,67,"growing",7,1,0,0,0,0,0,0,11,"elongate","No","brigadistaE",63,"June_2023",3,"with_ozone",4,3.1,"survive_1","PWOCham_groupE"
"CC27_N04TAF","11_27",11.7902066666667,"ozone_moderate",11,27,"survive",10.1,73,"growing",4,0,0,1,0,1,0,5,8,"elongate","No","brigadistaG",64,"June_2023",3,"with_ozone",4,0.6,"survive_0","PWOCham_groupA"
"CC29_N04TAF","11_29",8.45437,"ozone_moderate",11,29,"survive",8.8,65,"growing",7,1,0,0,0,1,1,4,3,"shrubby","No","brigadistaG",66,"June_2023",3,"with_ozone",6,1.9,"survive_1","PWOCham_groupA"
"CC30_N04TAF","11_30",8.77104,"ozone_moderate",11,30,"survive",7.2,54,"growing",2,0,0,1,0,0,0,4,19,"elongate","bit","brigadistaD",126,"June_2023",3,"with_ozone",2,0.9,"survive_0","PWOCham_groupD"
